age,job,marital,housing,loan,contact ,duration,poutcome,previous,campaign,subscribed
5,4,2,0,0,0,0.26,1,0,1,0
5,8,2,0,0,0,0.15,1,0,1,0
3,8,2,1,0,0,0.23,1,0,1,0
4,1,2,0,0,0,0.15,1,0,1,0
5,8,2,0,1,0,0.31,1,0,1,0
4,8,2,0,0,0,0.20,1,0,1,0
5,1,2,0,0,0,0.14,1,0,1,0
4,2,2,0,0,0,0.22,1,0,1,0
2,10,1,1,0,0,0.38,1,0,1,0
2,8,1,1,0,0,0.05,1,0,1,0
4,2,2,0,0,0,0.06,1,0,1,0
2,8,1,1,0,0,0.22,1,0,1,0
2,2,1,0,1,0,0.14,1,0,1,0
5,4,3,1,0,0,0.29,1,0,1,0
3,2,2,1,0,0,0.15,1,0,1,0
5,6,2,1,1,0,0.17,1,0,1,0
3,2,2,1,0,0,0.31,1,0,1,0
4,2,2,1,1,0,0.44,1,0,1,0
5,2,2,1,1,0,0.35,1,0,1,0
3,5,1,0,0,0,0.20,1,0,1,0
3,11,2,0,0,0,0.04,1,0,1,0
5,2,2,1,0,0,0.26,1,0,1,0
5,6,1,1,0,0,0.34,1,0,1,0
4,10,1,1,0,0,0.18,1,0,1,0
3,1,2,1,0,0,0.17,1,0,1,0
3,10,2,0,1,0,0.10,1,0,1,0
5,10,2,1,0,0,0.09,1,0,1,0
3,7,2,0,0,0,0.23,1,0,1,0
5,10,1,0,0,0,0.26,1,0,2,0
5,12,2,2,2,0,0.36,1,0,1,0
4,1,2,0,0,0,0.35,1,0,1,0
5,10,2,1,0,0,0.39,1,0,1,0
4,2,2,0,0,0,0.07,1,0,1,0
5,5,2,1,0,0,0.23,1,0,1,0
5,2,3,0,0,0,0.21,1,0,1,0
5,12,2,1,0,0,0.34,1,0,1,0
3,8,2,0,0,0,0.37,1,0,1,0
5,10,2,1,0,0,1.67,1,0,1,0
4,1,2,1,0,0,0.58,1,0,1,0
5,10,2,1,0,0,0.14,1,0,1,0
5,5,4,1,0,0,0.37,1,0,1,0
3,3,2,1,0,0,0.31,1,0,1,0
3,1,1,0,0,0,0.16,1,0,1,0
5,1,2,0,1,0,0.21,1,0,1,0
4,1,2,1,0,0,0.19,1,0,1,0
4,10,1,0,0,0,0.02,1,0,1,0
5,1,2,1,1,0,0.62,1,0,1,0
4,2,2,0,1,0,0.18,1,0,1,0
3,1,2,1,0,0,0.36,1,0,1,0
4,2,2,1,0,0,0.23,1,0,2,0
5,1,2,0,0,0,0.16,1,0,1,0
3,4,2,0,1,0,0.27,1,0,1,0
6,1,2,0,0,0,0.25,1,0,1,0
5,1,1,0,0,0,0.18,1,0,1,0
5,2,2,0,0,0,0.27,1,0,2,0
5,10,2,1,0,0,0.14,1,0,1,0
5,5,2,0,1,0,0.16,1,0,1,0
4,8,2,1,0,0,0.79,1,0,1,0
5,11,2,1,1,0,0.15,1,0,1,0
2,10,1,1,0,0,0.17,1,0,1,0
4,3,2,0,0,0,0.45,1,0,1,0
5,2,2,1,0,0,0.81,1,0,1,0
4,2,2,1,0,0,0.16,1,0,1,0
4,2,2,0,0,0,0.37,1,0,1,0
4,1,2,0,0,0,0.36,1,0,1,0
3,1,2,0,0,0,0.23,1,0,1,0
4,2,1,1,0,0,0.09,1,0,1,0
3,1,2,1,0,0,0.27,1,0,1,0
5,1,2,1,0,0,0.16,1,0,2,0
4,2,1,1,1,0,0.18,1,0,1,0
4,5,2,0,0,0,0.20,1,0,1,0
4,5,3,1,0,0,0.17,1,0,1,0
4,1,2,1,0,0,0.18,1,0,1,0
5,12,2,0,0,0,0.21,1,0,1,0
3,1,2,1,0,0,0.21,1,0,1,0
4,2,3,1,0,0,1.58,1,0,1,1
5,10,2,0,0,0,0.35,1,0,1,0
3,8,2,1,0,0,0.34,1,0,2,0
5,5,2,1,0,0,0.27,1,0,1,0
4,2,2,0,0,0,0.21,1,0,1,0
5,2,2,1,0,0,0.19,1,0,1,0
